kode_provinsi,nama_provinsi,kode_kabkota,nama_kabkota,tahun,jumlah_penduduk_miskin,persen_penduduk_miskin,indeks_p1,indeks_p2,garis_kemiskinan
12,Prov. Sumatera Utara,1275,Kota Medan,2010,212300,10.05,1.57,0.42,331659
12,Prov. Sumatera Utara,1276,Kota Binjai,2007,14000,5.72,0.94,0.19,173323
12,Prov. Sumatera Utara,1276,Kota Binjai,2008,20300,8.12,1.17,0.3,223697
12,Prov. Sumatera Utara,1276,Kota Binjai,2009,17900,7.04,1.08,0.21,229639
12,Prov. Sumatera Utara,1276,Kota Binjai,2010,18100,7.33,1.06,0.27,256025
12,Prov. Sumatera Utara,1277,Kota Padangsidimpuan,2007,20000,10.92,1.72,0.41,191064
12,Prov. Sumatera Utara,1277,Kota Padangsidimpuan,2008,21700,11.61,1.95,0.61,228382
12,Prov. Sumatera Utara,1277,Kota Padangsidimpuan,2009,18500,9.77,1.92,0.55,229921
12,Prov. Sumatera Utara,1277,Kota Padangsidimpuan,2010,20300,10.53,1.79,0.5,250989
12,Prov. Sumatera Utara,1278,Kota Gunungsitoli,2010,42600,33.86,11.57,5.06,248577
13,Prov. Sumatera Barat,1301,Kab. Kepulauan Mentawai,2007,10000,15.99,2,0.38,104192
13,Prov. Sumatera Barat,1301,Kab. Kepulauan Mentawai,2008,14700,22.86,3.41,0.76,129094
13,Prov. Sumatera Barat,1301,Kab. Kepulauan Mentawai,2009,13200,20.54,4.82,1.39,165814
13,Prov. Sumatera Barat,1301,Kab. Kepulauan Mentawai,2010,15100,19.74,5.06,1.77,186381
13,Prov. Sumatera Barat,1302,Kab. Pesisir Selatan,2007,54600,13.21,1.67,0.32,152190
13,Prov. Sumatera Barat,1302,Kab. Pesisir Selatan,2008,47300,11.36,1.97,0.61,184077
13,Prov. Sumatera Barat,1302,Kab. Pesisir Selatan,2009,44300,10.56,1.43,0.33,223328
13,Prov. Sumatera Barat,1302,Kab. Pesisir Selatan,2010,44000,10.22,1.65,0.48,251029
13,Prov. Sumatera Barat,1303,Kab. Solok,2007,58500,17.59,3.38,1.08,161746
13,Prov. Sumatera Barat,1303,Kab. Solok,2008,45000,13.43,2.74,0.8,192928
13,Prov. Sumatera Barat,1303,Kab. Solok,2009,40800,12.15,1.57,0.32,233097
13,Prov. Sumatera Barat,1303,Kab. Solok,2010,41000,11.74,1.68,0.42,262010
13,Prov. Sumatera Barat,1304,Kab. Sijunjung,2007,28800,15.35,1.91,0.42,176492
13,Prov. Sumatera Barat,1304,Kab. Sijunjung,2008,21900,11.51,2.6,0.73,216938
13,Prov. Sumatera Barat,1304,Kab. Sijunjung,2009,19000,9.8,1.25,0.27,216968
13,Prov. Sumatera Barat,1304,Kab. Sijunjung,2010,21100,10.45,2.19,0.7,243880
13,Prov. Sumatera Barat,1305,Kab. Tanah Datar,2007,24600,7.72,0.77,0.11,162283
13,Prov. Sumatera Barat,1305,Kab. Tanah Datar,2008,23800,7.52,1.07,0.27,179321
13,Prov. Sumatera Barat,1305,Kab. Tanah Datar,2009,21800,6.93,0.89,0.18,216986
13,Prov. Sumatera Barat,1305,Kab. Tanah Datar,2010,23400,6.9,0.86,0.16,243901
13,Prov. Sumatera Barat,1306,Kab. Padang Pariaman,2007,62500,17.12,3.07,0.87,182772
13,Prov. Sumatera Barat,1306,Kab. Padang Pariaman,2008,51500,14.15,3.09,0.84,222744
13,Prov. Sumatera Barat,1306,Kab. Padang Pariaman,2009,45200,12.41,1.82,0.43,231533
13,Prov. Sumatera Barat,1306,Kab. Padang Pariaman,2010,46300,11.86,1.38,0.26,260252
13,Prov. Sumatera Barat,1307,Kab. Agam,2007,51100,12.59,1.95,0.45,155561
13,Prov. Sumatera Barat,1307,Kab. Agam,2008,45300,11.2,1.59,0.33,193185
13,Prov. Sumatera Barat,1307,Kab. Agam,2009,39700,9.86,1.35,0.26,201074
13,Prov. Sumatera Barat,1307,Kab. Agam,2010,44900,9.84,1.36,0.3,226015
13,Prov. Sumatera Barat,1308,Kab. Lima Puluh Kota,2007,46100,14.79,2.18,0.57,163783
13,Prov. Sumatera Barat,1308,Kab. Lima Puluh Kota,2008,34400,11.01,1.51,0.33,190249
13,Prov. Sumatera Barat,1308,Kab. Lima Puluh Kota,2009,31100,9.98,1.13,0.2,222435
13,Prov. Sumatera Barat,1308,Kab. Lima Puluh Kota,2010,36500,10.47,1.98,0.51,250026
13,Prov. Sumatera Barat,1309,Kab. Pasaman,2007,42800,17.92,2.74,0.64,164333
13,Prov. Sumatera Barat,1309,Kab. Pasaman,2008,35000,14.44,2.05,0.46,199846
13,Prov. Sumatera Barat,1309,Kab. Pasaman,2009,30500,12.47,1.99,0.44,202452
13,Prov. Sumatera Barat,1309,Kab. Pasaman,2010,27800,10.96,1.3,0.27,227564
13,Prov. Sumatera Barat,1310,Kab. Solok Selatan,2007,21300,17.43,2.3,0.52,165708
13,Prov. Sumatera Barat,1310,Kab. Solok Selatan,2008,16700,13.41,1.8,0.42,194363
13,Prov. Sumatera Barat,1310,Kab. Solok Selatan,2009,14600,11.66,1.68,0.35,195997
13,Prov. Sumatera Barat,1310,Kab. Solok Selatan,2010,16100,11.11,1.33,0.29,220308
13,Prov. Sumatera Barat,1311,Kab. Dharmas Raya,2007,23800,14.42,2.55,0.74,175577
13,Prov. Sumatera Barat,1311,Kab. Dharmas Raya,2008,21400,12.53,2.16,0.62,184683
13,Prov. Sumatera Barat,1311,Kab. Dharmas Raya,2009,19900,11.4,1.87,0.54,229181
13,Prov. Sumatera Barat,1311,Kab. Dharmas Raya,2010,20300,10.56,1.83,0.5,257608
13,Prov. Sumatera Barat,1312,Kab. Pasaman Barat,2007,42700,13.76,1.9,0.39,178498
